"hw1","hw2","hw3","hw4","hw5","hw6","hw7","hw8","hw9","mid1","mid2","particip1","particip10","particip11","particip12","particip13","particip14","particip15","particip16","particip2","particip3","particip4","particip5","particip6","particip7","particip8","particip9","sec","final","uni"
10,10,10,10,60,10,30,30,30,55,59,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,NA,95,"s0"
9.5,10,9.5,10,45,10,20,30,30,40,50,0,1,1,0,1,1,0,1,2,0,1,2,1,1,1,1,1,88,"s1"
10,10,9.5,10,60,10,30,30,30,27,34.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,80,"s2"
10,10,9,10,55,10,30,30,30,24,33.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,84,"s3"
10,9,9.5,9,20,10,30,28,30,26,32,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,65,"s4"
10,10,9.5,10,50,10,30,30,30,34,39,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,76,"s5"
10,9,7,10,40,9.5,18,25,30,30,28.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,77,"s6"
9.5,10,9,10,60,10,10,28,30,32,42,2,1,1,1,1,1,0,1,2,3,1,2,1,1,0,1,1,76,"s7"
9.5,10,8.5,10,50,10,28,30,30,28,37.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,83,"s8"
10,9,9,9,40,9,30,13,30,28,39.5,2,1,1,1,1,1,0,0,2,3,1,2,1,1,1,1,1,89,"s9"
10,9,9.5,10,60,10,28,30,30,33,46.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,85,"s10"
10,10,9,10,50,10,28,30,30,30,39,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,82,"s11"
10,10,9,10,40,9.5,29,25,30,32,40,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,78,"s12"
10,10,9.5,10,60,10,30,30,30,28,40,0,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,87,"s13"
10,9,7.5,10,55,NA,10,30,30,33,27.5,2,1,1,0,1,1,0,1,2,3,1,2,1,1,0,1,1,73,"s14"
9,10,9,10,18,10,20,28,30,24,35,1,1,1,1,1,1,0,0,2,1,1,2,1,1,1,1,1,81,"s15"
10,10,8.5,10,50,9.5,10,30,30,36,51,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,74,"s16"
10,10,7.5,10,50,10,28,28,30,26,45,2,1,1,1,1,1,0,1,2,3,1,2,0,1,1,1,1,80,"s17"
10,10,9.5,10,20,9.5,30,30,30,32,44.5,2,1,1,1,1,1,0,1,2,3,0,2,1,1,1,1,1,79,"s18"
10,9,NA,10,20,7,10,10,30,30,37,0,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,79,"s19"
10,9,9.5,10,60,10,28,30,30,34,36.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,87,"s20"
10,9.5,9,10,20,9.5,10,30,30,29,32.5,1,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,79,"s21"
10,10,9.5,10,40,8.5,28,25,30,49,46,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,87,"s22"
10,10,9,9,50,9,30,25,30,34,42.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,82,"s23"
10,10,9,9,60,9,28,30,30,29,38,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,81,"s24"
10,10,9.5,9.5,45,9.5,22,28,30,25,44,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,80,"s25"
9.5,10,9,9.5,60,10,28,28,30,44,41.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,73,"s26"
9.5,10,9.5,10,30,9,10,NA,30,21,38.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,69,"s27"
10,10,9.5,NA,40,9.5,15,28,30,23,36.5,2,1,1,1,1,0,0,1,2,3,1,2,1,1,1,1,1,73,"s28"
10,10,9,9.5,25,9.5,NA,30,30,23,27.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,70,"s29"
10,10,9.5,9.5,60,9,20,30,30,29,36,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,78,"s30"
10,9,9.5,10,60,10,30,30,30,26.5,37,0,1,1,1,1,0,0,1,2,3,1,2,1,1,1,1,1,88,"s31"
10,10,9,10,45,10,28,30,30,29,29.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,69,"s32"
9.5,8.5,9.5,10,0,9,28,10,30,26,33,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,65,"s33"
9.5,10,9.5,10,50,10,30,30,30,28,29.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,77,"s34"
9,0,9.5,10,50,10,30,30,30,19,31.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,78,"s35"
9.5,9,9.5,10,60,10,18,28,30,32,50,2,1,0,1,1,1,0,0,2,3,1,2,1,1,1,1,1,85,"s36"
10,10,9,10,35,9,27,20,30,32,32,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,85,"s37"
9.5,8.5,10,10,40,9.5,28,30,30,20,29.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,0,1,1,76,"s38"
10,9,9.5,9.5,60,9,20,30,30,22,45,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,80,"s39"
NA,9,9,10,40,9.5,28,18,30,27,32.5,0,1,1,1,1,1,0,1,0,3,1,2,1,1,1,1,1,77,"s40"
10,10,9,10,35,10,28,30,30,26,34,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,81,"s41"
9.5,10,9.5,10,60,10,30,30,30,45,41.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,82,"s42"
9,9,9,10,10,10,18,28,30,29,38,2,1,1,1,1,1,0,0,2,3,1,2,1,1,1,1,1,85,"s43"
10,10,10,9.5,60,10,30,30,30,35,46.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,81,"s44"
9,10,9,10,35,10,20,15,30,16,25,1,1,1,1,1,1,0,1,2,2,1,2,1,1,1,1,1,82,"s45"
10,10,9,9.5,45,9.5,28,20,30,29,35.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,75,"s46"
10,10,10,9.5,55,10,30,30,30,31,47.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,85,"s47"
9,10,9.5,10,60,9,28,25,30,27,25,2,1,0,1,0,1,0,0,2,3,1,2,1,1,1,1,1,79,"s48"
10,10,9.5,9.5,50,9,28,30,30,27,37.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,84,"s49"
10,10,9,9.5,55,8.5,28,23,30,37,45,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,85,"s50"
8,9,8.5,10,15,9,26,23,30,18,21,2,1,1,1,1,0,0,0,2,3,1,2,1,1,1,1,1,55,"s51"
NA,10,9.5,10,40,10,30,30,30,32,35.5,0,1,1,1,1,1,0,1,0,3,1,2,1,1,1,1,1,77,"s52"
10,9,8.5,9.5,25,10,5,25,30,27,36,1,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,80,"s53"
10,10,9.5,10,40,10,18,28,30,23,17.5,2,0,1,1,1,1,0,0,2,3,1,2,1,1,0,1,1,79,"s54"
10,9,9,10,45,9.5,28,18,30,29,37,1,1,0,1,0,0,0,0,2,3,0,1,1,1,0,1,1,76,"s55"
10,10,9,9.5,50,10,30,NA,30,42,48,2,1,1,1,1,1,0,1,2,3,1,2,0,1,1,1,1,83,"s56"
10,10,9,10,25,9.5,18,30,30,34,31.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,65,"s57"
10,10,8.5,10,60,10,26,30,30,37,49,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,80,"s58"
9.5,10,9,10,50,10,30,30,30,26,38.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,78,"s59"
0,9,9,10,45,10,30,28,30,20,39,0,1,1,1,0,1,0,1,0,3,1,2,1,1,1,1,1,65,"s60"
10,10,9.5,9.5,40,9,28,NA,30,18,30.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,75,"s61"
9.5,9.5,7.5,10,40,9.5,NA,20,30,19,22.5,0,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,72,"s62"
10,9,9.5,9.5,40,10,25,20,30,27,48,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,71,"s63"
10,10,9,10,50,10,10,30,30,26,34,0,1,1,1,0,1,0,1,2,3,1,2,1,1,1,1,1,71,"s64"
10,10,9.5,10,45,9.5,30,28,30,29,39.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,85,"s65"
10,10,9.5,9.5,60,10,30,30,30,35,49,2,1,1,1,0,1,0,1,2,3,1,2,1,1,1,1,1,84,"s66"
10,10,9.5,10,25,10,0,28,30,38,29,2,1,1,1,1,1,0,1,2,3,0,2,0,1,0,1,1,78,"s67"
10,9,9.5,10,55,9,22,25,30,31,34.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,75,"s68"
10,9,9.5,10,45,9.5,28,30,30,26,28.5,1,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,79,"s69"
10,10,9.5,10,40,10,30,25,30,30,32,2,1,1,1,1,0,0,1,2,3,1,2,1,1,1,1,1,79,"s70"
10,10,9.5,9.5,35,10,NA,30,30,22,31,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,76,"s71"
9,10,8.5,9,15,9.5,20,25,30,26.5,27,2,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,1,77,"s72"
10,10,9,9.5,60,10,30,30,30,29,51.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,84,"s73"
9.5,10,9,10,35,9.5,26,NA,30,18.5,38.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,79,"s74"
10,10,9.5,9.5,55,10,28,30,30,26,38,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,81,"s75"
10,10,9.5,10,60,10,30,30,30,34,42,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,83,"s76"
8.5,10,8,10,30,9.5,8,25,30,39,34,0,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,82,"s77"
9.5,10,9.5,9,40,8.5,28,25,30,32,42.5,2,1,0,1,1,1,0,1,2,3,1,2,1,1,1,1,1,80,"s78"
10,9,7,10,55,10,NA,30,30,29,40.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,83,"s79"
10,10,9,10,35,8.5,30,28,30,26,45.5,2,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,1,80,"s80"
10,9,9.5,10,45,9,28,25,30,24,35.25,2,1,1,1,0,1,0,1,2,3,1,2,1,1,1,1,1,61,"s81"
10,9,9.5,10,55,10,28,30,30,36,36,2,1,1,1,1,1,0,1,2,3,1,2,1,1,0,1,1,82,"s82"
10,10,9,10,35,10,28,30,30,34,48.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,0,1,1,87,"s83"
10,10,9,10,60,10,28,30,30,31,46.5,0,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,86,"s84"
9.5,10,9,10,40,10,28,30,30,25,26,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,74,"s85"
10,10,9.5,8.5,10,9,10,26,30,20,27,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,83,"s86"
10,10,9.5,10,45,10,30,30,30,35,43.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,80,"s87"
9.5,10,9.5,10,40,10,28,30,30,25,34.5,0,1,0,1,1,1,0,1,0,3,1,2,1,1,1,1,1,85,"s88"
9,10,9.5,0,50,9,10,30,30,25,42.5,1,1,0,1,0,1,0,0,2,3,0,2,0,1,1,1,1,79,"s89"
10,9,9,10,15,9,30,28,30,38,47.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,76,"s90"
9.5,10,9,10,45,9.5,28,28,30,32,38,1,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,82,"s91"
9.5,10,9,10,50,9.5,28,30,30,29,45.5,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,81,"s92"
9.5,9,9,10,NA,10,28,30,30,36,47,2,1,1,1,1,1,0,1,2,3,1,2,1,1,1,1,1,83,"s93"
9.5,10,10,10,30,10,15,30,30,41,36,0,1,0,1,1,1,0,0,2,1,1,2,1,1,1,1,1,74,"s94"
9.5,9.5,9,0,55,10,8,28,30,21,25,0,1,0,1,0,1,0,1,2,3,1,2,1,0,1,1,1,79,"s95"
9,9.5,9,10,NA,NA,30,28,30,43,49,0,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,1,86,"s96"
9,10,9.5,10,40,9.5,29,20,30,24,45,0,1,1,1,1,1,0,0,2,3,1,2,1,1,1,1,1,77,"s97"
10,9,10,10,40,10,30,30,30,33,31.5,2,1,1,1,1,1,0,1,2,3,0,2,1,1,1,1,1,83,"s98"
9.5,10,9.5,10,55,9,20,28,30,28,37.5,2,1,0,1,0,1,0,0,2,3,0,2,1,1,1,1,1,78,"s99"
9,9,10,7,NA,7,30,30,NA,19.5,36.5,2,1,0,0,0,0,NA,NA,2,3,1,0,0,0,0,0,2,76,"s100"
10,10,10,8.5,50,10,30,30,NA,21,35.5,2,1,1,1,1,1,NA,NA,2,3,1,1,0,0,0,1,2,67,"s101"
10,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2,NA,"s102"
10,10,10,9,60,10,18,30,NA,44,49,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,1,1,2,78,"s103"
10,10,10,8,55,9.5,28,30,NA,40,35,2,1,0,1,1,1,NA,NA,2,3,1,1,0,1,1,1,2,79,"s104"
10,10,10,9,55,10,23,30,NA,52,41,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,1,1,2,83,"s105"
10,10,10,8,50,10,23,30,NA,30,30,2,1,0,1,0,1,NA,NA,2,3,1,1,1,1,1,1,2,75,"s106"
NA,10,9,7,NA,7.5,28,30,NA,18,29,0,1,1,1,1,1,NA,NA,0,0,1,1,1,1,1,0,2,82,"s107"
10,10,9,7,10,8,21,30,NA,24,33,2,1,0,1,1,1,NA,NA,2,3,1,1,1,1,0,1,2,73,"s108"
10,10,10,9,60,10,30,30,NA,29,45,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,1,1,2,84,"s109"
10,10,8.5,7.5,50,10,30,30,NA,29,39.5,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,1,1,2,78,"s110"
10,10,10,8.5,55,10,30,30,NA,45,58,0,1,1,1,1,1,NA,NA,2,3,1,0,1,1,1,1,2,85,"s111"
NA,10,10,9,5,7.5,30,30,NA,31,29.75,0,1,1,1,0,1,NA,NA,2,3,1,1,0,1,0,1,2,71,"s112"
10,10,9.5,8.5,60,9.5,30,30,NA,30,43,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,1,1,2,82,"s113"
10,10,10,10,60,10,28,30,NA,32,51.5,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,1,1,2,82,"s114"
10,10,10,8.5,40,10,25,30,NA,29,42.5,2,1,1,1,1,1,NA,NA,2,3,1,1,0,1,1,1,2,73,"s115"
10,10,9,9.5,55,10,30,30,NA,34,45,2,0,1,0,1,1,NA,NA,2,3,1,1,1,1,1,1,2,83,"s116"
10,10,10,8.5,30,9.5,15,30,NA,29,33.5,2,0,1,1,1,0,NA,NA,2,3,1,1,1,1,1,1,2,71,"s117"
10,10,10,9.5,30,9.5,28,30,NA,44,47,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,1,1,2,85,"s118"
9,10,10,8.5,55,10,30,30,NA,35,46,2,1,1,1,1,1,NA,NA,2,3,1,1,1,1,0,1,2,85,"s119"
9.5,9,10,8.5,15,10,18,30,NA,27,27.5,2,0,1,1,1,1,NA,NA,2,3,1,1,1,1,0,1,2,79,"s120"
10,10,10,8.5,0,9,23,30,NA,27,44,2,0,1,0,1,1,NA,NA,2,3,1,0,1,1,1,1,2,79,"s121"
10,10,10,9,45,9,30,30,NA,40,48,0,1,1,1,0,0,NA,NA,2,3,1,1,1,1,1,1,2,84,"s122"
